"","old_code","old_scientificName","old_UpdateStatus","Alternative.scientific.name","new_code","new_UpdateStatus"
"134","5948","Babka gymnotrachelus","Deletion","Neogobius gymnotrachelus","not found in Natura2000 List","not available"
"135","5917","Balistes capriscus","Deletion","Balistes carolinensis","not found in Natura2000 List","not available"
"136","6030","Balistes carolinensis","Deletion","Balistes capriscus","not found in Natura2000 List","not available"
"137","5565","Barbatula barbatula","Deletion","Noemacheilus barbatulus","not found in Natura2000 List","not available"
"138","5565","Barbatula barbatula","Deletion","Orthrias barbatulus","not found in Natura2000 List","not available"
"139","6003","Barbatula bureschi","Deletion","Oxynoemacheilus bureschi","not found in Natura2000 List","not available"
"140","2501","Barbus bocagei","Deletion","Luciobarbus bocagei","5281","Remains"
"141","1143","Barbus capito","Deletion","Luciobarbus capito","not found in Natura2000 List","not available"
"142","1142","Barbus comizo","Deletion","Luciobarbus comizo","6168","Remains"
"143","5090","Barbus graecus","Deletion","Luciobarbus graecus","5282","Remains"
"144","5091","Barbus graellsii","Deletion","Luciobarbus graellsii","5283","Remains"
"145","5092","Barbus guiraonis","Deletion","Luciobarbus guiraonis","5284","Remains"
"146","2502","Barbus microcephalus","Deletion","Luciobarbus microcephalus","5285","Remains"
"147","2503","Barbus peloponensis","Deletion","Barbus peloponnesius","5094","Remains"
"148","2504","Barbus sclateri","Deletion","Luciobarbus sclateri","5286","Remains"
"149","2505","Barbus steindachneri","Deletion","Luciobarbus steindachneri","5287","Remains"
"150","1445","Bassia saxicola","Deletion","Eokochia saxicola","6955","Addition"
"151","1445","Bassia saxicola","Deletion","Kochia saxicola","not found in Natura2000 List","not available"
"152","6268","Bellevalia dubia subsp. hackelii","Deletion","Bellevalia hackelii","1838","Remains"
"153","1505","Biscutella vincentina","Deletion","Biscutella sempervirens subsp. vicentina","6174","Remains"
"154","6034","Blenius rouxi","Deletion","Parablennius rouxi","not found in Natura2000 List","not available"
"155","6009","Blennius fluviatilis","Deletion","Salaria fluviatilis","not found in Natura2000 List","not available"
"156","6035","Blennius incognitus","Deletion","Parablennius incognitus","not found in Natura2000 List","not available"
"157","6036","Blicca bjoerkna","Deletion","Abramis bjoerkna","not found in Natura2000 List","not available"
"158","5954","Bodianus scrofa","Deletion","Pseudolepidaplois scrofa","not found in Natura2000 List","not available"
"159","1500","Boleum asperum","Deletion","Vella aspera","7026","Addition"
"160","5925","Bothus podas","Deletion","Bothus podas maderensis","not found in Natura2000 List","not available"
"161","6037","Bothus podas maderensis","Deletion","Bothus podas","not found in Natura2000 List","not available"
"162","6163","Bryoerythrophyllum machadoanum","Deletion","Bryoerythrophyllum campylocarpum","1388","Remains"
"163","5939","Bubyr caucasicus kosswigii","Deletion","Knipowitschia caucasica","not found in Natura2000 List","not available"
"164","1202","Bufo calamita","Deletion","Epidalea calamita","6284","Remains"
"165","1201","Bufo viridis","Deletion","Bufotes viridis","6997","Addition"
"166","1078","Callimorpha quadripunctaria","Deletion","Euplagia quadripunctaria","6199","Remains"
"167","6297","Campanula bohemica subsp. gelida","Deletion","Campanula scheuchzeri ","not found in Natura2000 List","not available"
"168","6297","Campanula bohemica subsp. gelida","Deletion","Campanula gelida ","not found in Natura2000 List","not available"
"169","6296","Campanula scheuchzeri","Deletion","Campanula gelida","2233","Remains"
"170","6296","Campanula scheuchzeri","Deletion","Campanula bohemica subsp. gelida  ","not found in Natura2000 List","not available"
"171","6102","Canis lupus signatus","Deletion","Canis lupus","1352","Remains"
"172","5915","Capra aegagrus aegagrus","Deletion","Capra aegagrus","1372","Remains"
"173","5914","Capra aegagrus blythi","Deletion","Capra aegagrus","1372","Remains"
"174","5580","Capra aegagrus cretica","Deletion","Capra aegagrus","1372","Remains"
"175","5913","Capra aegagrus turcmenica","Deletion","Capra aegagrus","1372","Remains"
"176","6111","Capra ibex ibex","Deletion","Capra ibex","1375","Remains"
"177","2644","Capreolus capreolus","Deletion","Capreolus capreolus italicus","not found in Natura2000 List","not available"
"178","5977","Capreolus capreolus italicus","Deletion","Capreolus capreolus","not found in Natura2000 List","not available"
"179","5986","Carassius auratus gibelio","Deletion","Carassius gibelio","not found in Natura2000 List","not available"
"180","5586","Carassius gibelio","Deletion","Carassius auratus gibelio","not found in Natura2000 List","not available"
"181","6175","Carex acuta","Deletion","Carex panormitana","1897","Remains"
"182","6270","Carthamus balearicus","Deletion","Centaurea balearica","not found in Natura2000 List","not available"
"183","6270","Carthamus balearicus","Deletion","Carduncellus balearicus","7017","Addition"
"184","1010","Caseolus commixta","Deletion","Caseolus commixtus","6973","Addition"
"185","1009","Caseolus sphaerula","Deletion","Caseolus subcalliferus","6974","Addition"
"186","1770","Centaurea alba subsp. heldreichii","Deletion","Centaurea heldreichii","6197","Remains"
"187","1830","Centaurea alba subsp. princeps","Deletion","Centaurea princeps","6198","Remains"
"188","1794","Centaurea balearica","Deletion","Carthamus balearicus","not found in Natura2000 List","not available"
"189","1794","Centaurea balearica","Deletion","Carduncellus balearicus","7017","Addition"
"190","6301","Centaurea boissieri subsp. spachii","Deletion","Centaurea pinnata ","not found in Natura2000 List","not available"
"191","6195","Centaurea fraylensis","Deletion","Centaurea vicentina","not found in Natura2000 List","not available"
"192","6195","Centaurea fraylensis","Deletion","Rhaponticoides fraylensis","6196","Remains"
"193","1785","Centaurea vicentina","Deletion","Centaurea fraylensis","not found in Natura2000 List","not available"
"194","1785","Centaurea vicentina","Deletion","Rhaponticoides fraylensis","6196","Remains"
"195","1660","Ceropegia chrysantha","Deletion","Ceropegia dichotoma subsp. krainzii","6295","Remains"
"196","5981","Chalcalburnus chalcoides mento","Deletion","Alburnus mento","5289","Remains"
"197","2437","Chalcides chalcides","Deletion","Chalcides chalcides chalcides","not found in Natura2000 List","not available"
"198","6118","Chalcides chalcides chalcides","Deletion","Chalcides chalcides","not found in Natura2000 List","not available"
"199","6086","Chalcides occidentalis","Deletion","Chalcides simonyi","1273","Remains"
"200","6086","Chalcides occidentalis","Deletion","Chalcides ocellatus","1274","Remains"
"201","6087","Chalcides ocellatus tiligugu","Deletion","Chalcides ocellatus","1274","Remains"
"202","6286","Cheirolophus crassifolius","Deletion","Palaeocyanus crassifolius","4085","Remains"
"203","5961","Chelidonichthys lucernus","Deletion","Trigla lucerna","not found in Natura2000 List","not available"
