"","old_code","old_scientificName","old_UpdateStatus","ScientificNameAuthorCoL","TaxonomicStatus","new_canonicalName","new_authorship","new_code","new_scientificName","new_UpdateStatus","ruleApplied","new_classification"
"767","6058","Leuciscus souffia agassizi","Deletion","Telestes souffia (Risso, 1827)","Synonym","Telestes souffia","Valenciennes, 1844","6147","Telestes souffia","Remains","Synonym - Remains","SPECIES:Telestes souffia (Risso, 1827)|GENUS:Telestes|FAMILY:Cyprinidae|ORDER:Cypriniformes|CLASS:Actinopterygii|PARVPHYLUM:Osteichthyes|INFRAPHYLUM:Gnathostomata|SUBPHYLUM:Vertebrata|PHYLUM:Chordata|KINGDOM:Animalia|UNRANKED:Biota"
"768","6059","Leuciscus torgalensis","Deletion","Squalius torgalensis (Coelho, Bogutskaya, Rodrigues & Collares-Pereira, 1998)","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"769","1871","Leucojum nicaeense","Deletion","Acis nicaeensis (Ardoino) Lledó, A.P.Davis & M.B.Crespo","Synonym","Acis nicaeensis","Ardoino","6176","Acis nicaeensis","Remains","Synonym - Remains","SPECIES:Acis nicaeensis (Ardoino) Lledó, A.P.Davis & M.B.Crespo|GENUS:Acis Salisb.|FAMILY:Amaryllidaceae|ORDER:Asparagales|CLASS:Liliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota"
"770","5698","Leucoraja circularis","Deletion","Leucoraja circularis (Couch, 1838)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"771","6222","Leuzea centauroides","Deletion","Rhaponticum centauroides (L.) O. Bolòs","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"772","5699","Lichia amia","Deletion","Lichia amia (Linnaeus, 1758)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"773","1841","Lilium rubrum","Deletion","Lilium pomponium L.","Synonym","not available","not available","not found in Natura2000 List","not available","not available","Synonym - not available","not available"
"774","1649","Limonium arborescens","Deletion","Limonium arboreum (Willd.) H. Arnaud","Synonym","Limonium arboreum","(Brouss.) Kuntze","7030","Limonium arboreum","Addition","Synonym - Addition","SPECIES:Limonium arboreum (Willd.) H. Arnaud|GENUS:Limonium Mill.|FAMILY:Plumbaginaceae Juss.|ORDER:Caryophyllales Juss. ex Bercht. & J. Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota"
"775","1633","Limonium dodartii subsp. lusitanicum","Deletion","Limonium multiflorum Erben","Synonym","Limonium multiflorum","(Daveau) Franco","1640","Limonium multiflorum","Remains","Synonym - Remains","SPECIES:Limonium multiflorum Erben|GENUS:Limonium Mill.|FAMILY:Plumbaginaceae Juss.|ORDER:Caryophyllales Juss. ex Bercht. & J. Presl|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota"
"776","6278","Linaria odora subsp. loeselii","Deletion","","Unresolved","not available","not available","not found in Natura2000 List","not available","not available","Unresolved - not available","not available"
"777","6303","Lindernia palustris","Deletion","Lindernia procumbens (Krock.) Borbás","Synonym","Lindernia procumbens","Hartmann","1725","Lindernia procumbens","Remains","Synonym - Remains","SPECIES:Lindernia procumbens (Krock.) Borbás|GENUS:Lindernia All.|FAMILY:Linderniaceae Borsch, K. Müll. & Eb. Fisch.|ORDER:Lamiales Bromhead|CLASS:Magnoliopsida|PHYLUM:Tracheophyta|KINGDOM:Plantae|UNRANKED:Biota"
"778","6224","Linum maritimum","Deletion","Linum maritimum L.","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
"779","5700","Liparis montagui","Deletion","Liparis montagui (Donovan, 1804)","Accepted","not available","not available","not found in Natura2000 List","not available","not available","Accepted - not available","not available"
